Mailbox,User Geo,User Time zone,ORG,Organizer,Start Time,End Time,Duration
User 9750,United States of America,0,,User 9750,1/2/2017 22:00,1/3/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/3/2017 3:30,1/3/2017 6:30,3
User 9750,United States of America,0,,Ext Org 2728,1/3/2017 5:05,1/3/2017 5:25,0.333333333
User 9750,United States of America,0,,User 9750,1/3/2017 22:00,1/4/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/4/2017 22:00,1/5/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/5/2017 22:00,1/6/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/6/2017 21:30,1/7/2017 0:30,3
User 9750,United States of America,0,,User 9750,1/9/2017 22:00,1/10/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/10/2017 3:30,1/10/2017 6:30,3
User 9750,United States of America,0,,User 9750,1/10/2017 22:00,1/11/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/11/2017 22:00,1/12/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/12/2017 22:00,1/13/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/13/2017 21:30,1/14/2017 0:30,3
User 9750,United States of America,0,,User 9750,1/16/2017 22:00,1/17/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/17/2017 3:30,1/17/2017 6:30,3
User 9750,United States of America,0,,Ext Org 2728,1/17/2017 5:05,1/17/2017 5:25,0.333333333
User 9750,United States of America,0,,User 9750,1/17/2017 22:00,1/18/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/18/2017 22:00,1/19/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/19/2017 22:00,1/20/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/20/2017 21:30,1/21/2017 0:30,3
User 9750,United States of America,0,,User 9750,1/23/2017 22:00,1/24/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/24/2017 3:30,1/24/2017 6:30,3
User 9750,United States of America,0,,User 9750,1/24/2017 22:00,1/25/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/25/2017 22:00,1/26/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/26/2017 22:00,1/27/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/27/2017 21:30,1/28/2017 0:30,3
User 9750,United States of America,0,,User 9750,1/30/2017 22:00,1/31/2017 1:30,3.5
User 9750,United States of America,0,,User 9750,1/31/2017 3:30,1/31/2017 6:30,3
User 9750,United States of America,0,,Ext Org 2728,1/31/2017 5:05,1/31/2017 5:25,0.333333333
User 9750,United States of America,0,,User 9750,1/31/2017 22:00,2/1/2017 1:30,3.5
